timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,label
2026-04-22 19:43:53.168822+00:00,10.81.13.134,14.25.110.38,31891,443,TCP,1011,832053,1.54425,dos
2026-04-22 19:05:29.168822+00:00,10.8.121.68,220.34.7.202,25779,22,TCP,16,6647,2.36669,benign
2026-04-24 02:23:00.168822+00:00,10.160.254.144,96.109.67.1,42779,38160,UDP,28,2128,0.18342,port_scan
2026-04-23 15:29:19.168822+00:00,10.204.50.92,163.130.101.52,59933,53,TCP,19,5543,4.36129,benign
2026-04-22 12:39:52.168822+00:00,10.208.95.235,39.182.17.240,60558,445,TCP,15,7593,5.47592,benign
2026-04-23 01:36:43.168822+00:00,10.237.190.169,124.43.225.71,33984,22,TCP,79,22357,1.09088,brute_force
2026-04-23 19:24:32.168822+00:00,10.87.213.252,74.181.30.161,36614,80,UDP,1357,1445205,0.59576,dos
2026-04-23 21:56:37.168822+00:00,10.220.88.43,69.211.118.165,30180,443,TCP,1811,1555649,1.84461,dos
2026-04-23 13:57:59.168822+00:00,10.233.4.203,108.48.82.213,58892,443,TCP,22,5382,9.25279,benign
2026-04-22 07:28:16.168822+00:00,10.68.196.151,119.41.17.22,56655,80,TCP,17,9247,1.02006,benign
2026-04-23 00:19:06.168822+00:00,10.29.231.238,183.239.128.149,4527,22,TCP,15,8905,4.41384,benign
2026-04-23 02:26:42.168822+00:00,10.78.40.216,120.84.195.66,52381,22,TCP,108,26460,3.99998,brute_force
2026-04-22 15:04:38.168822+00:00,10.111.168.210,166.21.147.143,2956,53,TCP,28,13154,2.63416,benign
2026-04-23 02:35:45.168822+00:00,10.166.121.182,39.221.47.173,47077,21125,UDP,12,1080,0.23126,port_scan
2026-04-22 23:59:07.168822+00:00,10.20.130.154,112.194.110.152,22873,80,TCP,21,12348,5.06273,benign
2026-04-23 10:32:04.168822+00:00,10.171.56.202,167.2.54.114,35044,443,TCP,23,16218,4.14289,benign
2026-04-22 21:21:04.168822+00:00,10.83.150.180,86.9.162.21,51528,3306,TCP,27,13830,4.74334,benign
2026-04-22 23:32:45.168822+00:00,10.10.243.130,172.44.153.226,16162,3389,TCP,20,5556,1.26306,benign
2026-04-24 00:02:15.168822+00:00,10.2.152.66,88.54.58.115,9598,48991,TCP,35,2415,0.07622,port_scan
2026-04-23 01:38:12.168822+00:00,10.223.42.2,73.223.214.173,37632,53,TCP,18,9582,1.23679,benign
2026-04-22 15:29:48.168822+00:00,10.185.12.51,84.33.59.118,55083,443,UDP,748,778668,0.54772,dos
2026-04-23 17:36:26.168822+00:00,10.93.222.204,183.196.249.113,8492,80,UDP,23,7024,1.0322,benign
2026-04-22 18:56:20.168822+00:00,10.153.123.171,128.55.175.164,26028,3389,UDP,41,5945,2.7083,brute_force
2026-04-22 14:33:14.168822+00:00,10.77.225.177,25.103.237.131,35654,47251,TCP,22,2596,0.32703,port_scan
2026-04-23 18:59:59.168822+00:00,10.149.128.161,103.31.202.230,15692,80,TCP,1985,1397440,1.32513,dos
2026-04-22 17:46:27.168822+00:00,10.146.174.109,203.234.241.78,55951,80,TCP,19,9066,0.30383,benign
2026-04-22 06:40:05.168822+00:00,10.76.184.78,171.74.92.44,39629,443,TCP,16,12590,1.66676,benign
2026-04-22 11:14:49.168822+00:00,10.3.18.1,19.149.20.51,34247,8080,TCP,20,7403,0.16221,benign
2026-04-23 17:59:50.168822+00:00,10.133.174.74,51.156.126.241,9977,3306,TCP,17,11774,4.23,benign
2026-04-22 18:42:02.168822+00:00,10.6.163.86,150.46.64.58,5441,3306,TCP,15,9944,4.1394,benign
2026-04-23 01:15:46.168822+00:00,10.203.93.166,107.23.108.80,11703,443,TCP,677,716943,1.78095,dos
2026-04-23 06:35:28.168822+00:00,10.156.72.197,33.224.87.5,3044,3389,UDP,86,8686,3.60791,brute_force
2026-04-22 19:38:12.168822+00:00,10.208.209.81,167.162.89.98,35518,3389,TCP,20,10297,1.91465,benign
2026-04-22 15:24:43.168822+00:00,10.71.73.42,53.80.42.44,56534,8080,TCP,22,12000,0.82747,benign
2026-04-22 09:42:04.168822+00:00,10.224.250.210,93.212.43.209,49926,3389,TCP,15,6551,2.66914,benign
2026-04-22 09:51:51.168822+00:00,10.11.240.207,186.10.70.147,15492,3306,TCP,22,10121,1.79817,benign
2026-04-24 02:14:44.168822+00:00,10.17.5.64,45.105.178.2,13676,443,UDP,14,6583,5.73595,benign
2026-04-24 06:09:29.168822+00:00,10.123.89.163,146.77.200.48,34937,3389,TCP,26,12343,4.17695,benign
2026-04-23 13:03:14.168822+00:00,10.176.121.97,159.194.111.114,51182,445,UDP,14,6670,3.33525,benign
2026-04-23 04:10:56.168822+00:00,10.144.26.7,96.203.104.247,51135,8080,UDP,22,4538,1.35281,benign
2026-04-23 21:14:55.168822+00:00,10.202.39.250,43.102.139.142,34686,3306,TCP,18,9606,4.70381,benign
2026-04-23 22:14:48.168822+00:00,10.141.134.211,107.248.124.43,17358,41221,TCP,35,3815,0.30463,port_scan
2026-04-23 03:33:46.168822+00:00,10.52.139.119,91.13.74.120,32192,80,TCP,1095,1213260,0.78304,dos
2026-04-23 17:47:37.168822+00:00,10.127.235.251,27.124.56.236,48597,8080,TCP,18,8477,7.59965,benign
2026-04-22 10:59:02.168822+00:00,10.103.99.69,40.116.46.113,57772,16402,TCP,21,2226,0.08098,port_scan
2026-04-22 14:16:25.168822+00:00,10.98.110.19,112.127.120.114,5881,80,ICMP,776,675120,1.14905,dos
2026-04-23 22:56:51.168822+00:00,10.59.199.182,71.229.165.157,50969,445,TCP,12,5334,2.67391,benign
2026-04-23 06:55:18.168822+00:00,10.17.227.35,97.203.173.40,49317,22,UDP,13,7975,1.78124,benign
2026-04-23 21:27:51.168822+00:00,10.41.14.40,102.223.224.247,14787,22,TCP,15,10703,1.73048,benign
2026-04-23 09:35:23.168822+00:00,10.49.227.112,170.244.64.250,5152,445,ICMP,14,6048,2.49829,benign
2026-04-22 11:56:11.168822+00:00,10.49.10.63,211.177.173.171,20951,3306,TCP,26,13347,6.88261,benign
2026-04-22 13:54:31.168822+00:00,10.104.112.123,34.17.60.72,18902,53,TCP,20,15240,3.14104,benign
2026-04-23 07:54:20.168822+00:00,10.51.28.124,23.200.8.92,8334,443,TCP,1598,1735428,1.41197,dos
2026-04-22 11:42:12.168822+00:00,10.14.227.80,33.158.242.149,17584,22,TCP,23,13163,0.58088,benign
2026-04-23 22:54:54.168822+00:00,10.166.165.10,129.148.68.95,13641,80,UDP,445,429870,1.86413,dos
2026-04-22 18:58:02.168822+00:00,10.154.160.33,77.225.92.64,58530,80,TCP,867,745620,0.95127,dos
2026-04-23 15:42:31.168822+00:00,10.148.23.118,118.196.95.7,6563,80,TCP,20,10289,1.26426,benign
2026-04-22 18:52:23.168822+00:00,10.47.83.223,97.213.219.193,35503,22,TCP,19,5006,2.9977,benign
2026-04-23 19:29:56.168822+00:00,10.229.237.244,122.249.27.31,22083,3306,TCP,20,9405,5.43481,benign
2026-04-22 19:39:23.168822+00:00,10.133.219.230,162.204.53.79,55411,3306,TCP,18,6378,3.35281,benign
2026-04-23 07:07:59.168822+00:00,10.70.33.101,59.63.4.53,31633,22,TCP,20,10714,2.78262,benign
2026-04-22 18:27:01.168822+00:00,10.167.30.165,157.183.223.240,38587,3306,TCP,17,6657,2.00118,benign
2026-04-24 00:20:42.168822+00:00,10.83.114.97,56.166.101.68,26568,22,TCP,14,8217,2.2638,benign
2026-04-23 08:34:46.168822+00:00,10.188.84.121,156.101.154.62,53078,443,TCP,746,739286,1.24609,dos
2026-04-23 07:24:11.168822+00:00,10.161.218.117,101.17.9.195,44109,8080,UDP,27,9322,4.61186,benign
2026-04-22 20:27:48.168822+00:00,10.34.142.5,199.26.171.165,36591,80,TCP,20,9020,4.55186,benign
2026-04-22 15:07:00.168822+00:00,10.169.96.165,69.109.75.19,26597,53,TCP,26,15778,1.43736,benign
2026-04-23 19:22:17.168822+00:00,10.32.127.46,185.76.134.20,30048,445,TCP,16,10891,0.14436,benign
2026-04-22 08:53:22.168822+00:00,10.141.12.133,19.160.105.170,17329,3306,TCP,13,5117,1.81981,benign
2026-04-22 08:50:48.168822+00:00,10.109.32.188,197.228.19.73,43470,22,TCP,17,6228,4.92433,benign
2026-04-23 13:47:47.168822+00:00,10.213.141.133,54.44.116.121,20060,8080,TCP,26,20621,7.9413,benign
2026-04-23 12:09:53.168822+00:00,10.90.70.3,216.207.14.144,19503,445,TCP,16,8298,1.0708,benign
2026-04-22 22:04:00.168822+00:00,10.122.129.8,57.240.64.23,31118,18862,TCP,18,1728,0.35543,port_scan
2026-04-23 19:24:35.168822+00:00,10.83.143.61,210.183.178.169,60292,80,TCP,21,8746,1.52395,benign
2026-04-22 09:10:53.168822+00:00,10.151.115.237,164.62.170.53,29375,3389,ICMP,16,8802,6.55352,benign
2026-04-23 03:18:59.168822+00:00,10.43.9.82,203.97.237.82,59608,443,TCP,30,22803,4.86965,benign
2026-04-24 01:51:52.168822+00:00,10.204.236.160,50.85.141.184,35006,3389,TCP,17,9445,3.28829,benign
2026-04-22 21:39:36.168822+00:00,10.155.184.252,16.23.71.191,5716,53,TCP,13,8698,3.46963,benign
2026-04-23 19:59:42.168822+00:00,10.240.160.90,72.127.252.45,38698,443,TCP,22,11529,6.08695,benign
2026-04-22 20:52:50.168822+00:00,10.24.42.170,52.170.198.95,60166,443,TCP,1642,1620654,0.36941,dos
2026-04-22 17:27:02.168822+00:00,10.18.220.122,52.33.247.150,57935,8080,TCP,19,8062,2.41472,benign
2026-04-22 22:03:59.168822+00:00,10.232.219.141,91.81.40.73,12756,53,TCP,23,8360,0.94075,benign
2026-04-22 20:16:01.168822+00:00,10.109.30.245,176.121.231.133,18312,443,TCP,342,297882,0.22392,dos
2026-04-22 11:57:57.168822+00:00,10.163.106.37,139.179.45.126,44973,443,TCP,17,11752,2.93029,benign
2026-04-24 02:00:16.168822+00:00,10.218.14.170,195.136.63.145,29214,53,UDP,23,12478,3.28318,benign
2026-04-23 10:13:26.168822+00:00,10.53.161.25,151.236.194.26,54123,80,TCP,23,10968,0.81122,benign
2026-04-24 04:29:52.168822+00:00,10.204.113.111,134.169.189.10,34598,443,UDP,1489,1286496,0.14073,dos
2026-04-23 12:15:33.168822+00:00,10.240.47.168,70.66.50.201,16586,445,TCP,22,12534,4.39047,benign
2026-04-24 01:10:35.168822+00:00,10.145.177.167,108.92.139.7,22427,22,UDP,23,7973,1.77446,benign
2026-04-23 01:02:14.168822+00:00,10.204.89.61,60.130.51.112,8291,3306,TCP,23,8308,4.63366,benign
2026-04-22 15:21:14.168822+00:00,10.172.145.232,79.236.224.240,19479,22,TCP,11,7106,0.24097,benign
2026-04-24 04:12:49.168822+00:00,10.181.60.78,91.71.131.209,49805,53,UDP,20,9622,0.96789,benign
2026-04-23 21:56:12.168822+00:00,10.176.98.235,181.131.143.138,15352,445,TCP,18,8610,2.48701,benign
2026-04-24 02:04:52.168822+00:00,10.178.94.206,109.29.85.213,29565,53,TCP,24,11911,2.03139,benign
2026-04-24 02:38:47.168822+00:00,10.177.92.108,194.154.249.243,12627,445,ICMP,25,15540,6.33984,benign
2026-04-22 20:37:49.168822+00:00,10.159.62.169,117.199.53.119,32420,22,TCP,18,9777,4.18209,benign
2026-04-23 08:31:18.168822+00:00,10.84.236.146,98.218.106.81,63323,8080,TCP,17,7071,7.26528,benign
2026-04-23 17:29:07.168822+00:00,10.200.140.50,92.220.158.30,50172,445,TCP,16,6736,0.68288,benign
2026-04-24 00:33:27.168822+00:00,10.171.159.38,16.85.209.221,50330,80,UDP,17,8375,2.01637,benign
2026-04-22 11:54:56.168822+00:00,10.244.22.97,43.6.66.221,17396,22,UDP,82,14432,0.59716,brute_force
2026-04-24 03:05:10.168822+00:00,10.31.195.110,101.10.127.168,20854,35857,TCP,10,890,0.16365,port_scan
2026-04-23 18:42:27.168822+00:00,10.137.229.112,31.162.204.15,7291,8080,TCP,23,11559,0.68498,benign
2026-04-23 05:03:55.168822+00:00,10.126.145.236,22.213.118.22,60448,3389,TCP,26,13688,2.98032,benign
2026-04-23 17:38:52.168822+00:00,10.108.63.81,39.217.218.250,62808,22,TCP,140,35000,1.77255,brute_force
2026-04-22 19:54:39.168822+00:00,10.139.194.218,157.171.229.237,22892,80,UDP,1545,1426035,1.00551,dos
2026-04-22 23:27:02.168822+00:00,10.135.121.238,16.159.193.250,46159,443,TCP,1653,1178589,1.13687,dos
2026-04-22 15:54:38.168822+00:00,10.171.2.166,22.203.141.173,14640,8080,TCP,20,9049,0.55819,benign
2026-04-23 00:54:22.168822+00:00,10.196.196.40,222.252.46.123,43093,3306,TCP,24,12914,5.20158,benign
2026-04-22 21:09:56.168822+00:00,10.129.194.238,98.123.106.217,7159,53,TCP,21,4862,5.26024,benign
2026-04-23 10:27:48.168822+00:00,10.221.201.200,199.171.164.37,22502,6789,UDP,19,1748,0.19082,port_scan
2026-04-23 03:09:45.168822+00:00,10.89.151.9,84.78.29.149,26391,445,TCP,23,8419,1.74748,benign
2026-04-22 19:46:59.168822+00:00,10.31.64.244,147.4.117.130,65257,3389,TCP,22,8424,3.8666,benign
2026-04-23 00:53:07.168822+00:00,10.63.83.205,107.59.6.61,31163,3389,UDP,19,16323,5.58477,benign
2026-04-23 09:49:25.168822+00:00,10.7.44.1,220.228.177.72,15380,80,UDP,16,8878,2.31622,benign
2026-04-23 20:22:23.168822+00:00,10.152.188.237,15.229.109.136,4064,3306,TCP,26,17982,2.39995,benign
2026-04-24 00:56:18.168822+00:00,10.212.185.204,216.236.140.186,12513,26932,UDP,33,1584,0.21719,port_scan
2026-04-22 19:03:29.168822+00:00,10.234.142.33,129.105.61.9,16653,80,TCP,1224,1208088,0.26408,dos
2026-04-23 03:41:04.168822+00:00,10.161.79.231,210.227.100.180,21556,443,UDP,1493,1484042,0.44408,dos
2026-04-23 16:33:50.168822+00:00,10.135.169.131,32.34.219.238,9813,3306,TCP,23,17132,4.05824,benign
2026-04-22 16:08:04.168822+00:00,10.89.232.242,140.124.165.8,48694,80,TCP,16,10216,2.22648,benign
2026-04-23 17:38:51.168822+00:00,10.228.246.5,79.75.133.219,25978,3306,TCP,21,11041,2.18396,benign
2026-04-23 09:07:07.168822+00:00,10.160.107.144,29.106.195.206,16313,22,TCP,26,14478,4.16319,benign
2026-04-22 12:56:28.168822+00:00,10.115.238.209,192.102.241.35,34939,8080,TCP,20,10017,1.55627,benign
2026-04-23 13:40:08.168822+00:00,10.198.167.31,184.49.172.224,21200,445,TCP,23,12128,1.08646,benign
2026-04-22 14:01:31.168822+00:00,10.45.244.12,157.46.223.238,45146,3389,TCP,18,9250,1.4966,benign
2026-04-23 07:34:47.168822+00:00,10.184.149.188,114.73.163.247,35190,445,TCP,24,13761,2.10872,benign
2026-04-22 21:13:04.168822+00:00,10.252.102.151,216.24.35.140,61166,443,TCP,16,12217,2.63099,benign
2026-04-22 07:28:00.168822+00:00,10.2.89.70,193.9.175.66,42952,53,TCP,16,5620,1.75508,benign
2026-04-23 14:44:31.168822+00:00,10.209.84.78,73.218.73.48,24691,53,UDP,16,10878,1.91653,benign
2026-04-23 14:27:28.168822+00:00,10.116.148.179,215.227.235.150,10650,3306,ICMP,18,8432,3.40722,benign
2026-04-22 19:25:12.168822+00:00,10.247.114.155,66.185.194.92,7578,443,TCP,18,12559,1.35192,benign
2026-04-22 08:06:12.168822+00:00,10.94.150.64,134.251.146.210,43255,3389,TCP,160,34240,1.4765,brute_force
2026-04-24 00:38:31.168822+00:00,10.61.195.170,17.232.245.38,3150,53,TCP,21,12133,1.20796,benign
2026-04-23 02:22:07.168822+00:00,10.200.184.93,102.68.141.214,25606,80,TCP,17,8461,2.58016,benign
2026-04-23 23:21:34.168822+00:00,10.199.55.2,50.170.32.98,2346,3389,UDP,18,4998,2.45562,benign
2026-04-23 02:13:24.168822+00:00,10.56.175.169,127.118.30.112,23354,80,TCP,21,16032,6.30998,benign
2026-04-23 17:56:17.168822+00:00,10.187.197.56,81.142.84.125,58023,3389,TCP,45,10530,3.88966,brute_force
2026-04-23 22:57:35.168822+00:00,10.200.120.222,213.115.186.84,6121,3389,TCP,17,9039,4.88005,benign
2026-04-23 15:06:21.168822+00:00,10.5.192.176,153.114.158.46,63886,443,TCP,455,440895,0.60597,dos
2026-04-23 23:44:26.168822+00:00,10.123.221.68,187.48.43.175,63855,22,UDP,20,6656,1.66772,benign
2026-04-22 09:25:46.168822+00:00,10.94.95.122,73.245.173.54,56736,443,TCP,20,9826,5.949,benign
2026-04-23 19:32:04.168822+00:00,10.72.173.26,217.232.75.159,45737,3389,TCP,22,9611,1.73584,benign
2026-04-23 16:48:12.168822+00:00,10.8.36.114,104.242.245.101,12534,22,TCP,97,18915,0.75005,brute_force
2026-04-23 21:40:46.168822+00:00,10.3.161.50,203.176.23.139,7467,443,UDP,15,7725,3.6019,benign
2026-04-23 12:47:39.168822+00:00,10.192.212.217,93.249.49.16,60321,53,TCP,12,3750,1.89532,benign
2026-04-22 16:50:06.168822+00:00,10.136.135.99,41.14.127.220,24650,53,UDP,24,12901,0.70339,benign
2026-04-23 11:26:41.168822+00:00,10.33.60.64,115.13.219.231,30028,22,UDP,16,8034,2.0723,benign
2026-04-23 16:42:50.168822+00:00,10.150.4.248,172.23.57.29,6189,22,TCP,13,2245,2.04544,benign
2026-04-24 06:03:43.168822+00:00,10.30.88.85,151.84.13.185,4883,3306,UDP,23,10275,1.14298,benign
2026-04-23 18:17:53.168822+00:00,10.216.159.239,168.147.43.231,35958,443,TCP,21,12297,2.55741,benign
2026-04-23 22:42:33.168822+00:00,10.232.200.38,95.160.3.152,27185,65153,TCP,35,4025,0.31923,port_scan
2026-04-23 19:40:48.168822+00:00,10.150.152.77,200.145.71.104,46191,42081,TCP,22,2244,0.07396,port_scan
2026-04-22 11:14:35.168822+00:00,10.9.8.98,67.162.135.248,54835,445,TCP,24,13933,0.96728,benign
2026-04-23 20:28:55.168822+00:00,10.187.42.243,16.247.70.29,4672,53,TCP,22,8305,1.02114,benign
2026-04-23 16:11:48.168822+00:00,10.73.175.13,66.116.191.151,63623,3306,TCP,14,7255,4.54233,benign
2026-04-22 14:10:05.168822+00:00,10.9.128.36,59.182.9.77,60513,443,TCP,21,13345,1.18287,benign
2026-04-22 15:20:30.168822+00:00,10.162.100.59,214.250.80.106,38010,445,TCP,22,8740,3.12349,benign
2026-04-22 18:39:53.168822+00:00,10.252.101.22,85.72.48.199,25159,445,TCP,10,4911,2.18842,benign
2026-04-23 10:29:16.168822+00:00,10.35.81.127,149.149.197.230,11775,443,TCP,1306,1384360,1.79342,dos
2026-04-23 19:56:58.168822+00:00,10.140.113.29,191.27.195.14,16170,80,TCP,1594,1507924,0.28859,dos
2026-04-24 00:35:24.168822+00:00,10.65.29.132,162.240.237.114,46255,53,ICMP,16,9348,2.62905,benign
2026-04-22 13:24:18.168822+00:00,10.17.197.128,216.55.234.189,9401,56317,UDP,39,2457,0.11336,port_scan
2026-04-24 05:25:50.168822+00:00,10.72.73.10,179.254.195.254,63311,53,TCP,22,10944,0.5739,benign
2026-04-22 12:16:57.168822+00:00,10.10.167.128,103.245.207.40,10418,22,TCP,20,11650,3.97312,benign
2026-04-23 10:30:59.168822+00:00,10.32.186.247,90.216.157.32,49706,445,TCP,14,2567,1.17364,benign
2026-04-24 05:13:44.168822+00:00,10.170.225.174,137.90.29.46,55845,443,UDP,20,8903,5.90451,benign
2026-04-23 02:18:12.168822+00:00,10.235.140.207,54.90.228.63,20104,21273,TCP,7,658,0.3752,port_scan
2026-04-24 04:47:11.168822+00:00,10.199.84.16,48.228.125.251,31992,80,UDP,695,601870,1.03041,dos
2026-04-23 12:41:32.168822+00:00,10.107.48.222,75.44.219.33,38234,3389,TCP,22,9831,2.04342,benign
2026-04-22 22:29:44.168822+00:00,10.179.227.86,167.41.216.144,52532,22,TCP,173,48440,3.04302,brute_force
2026-04-24 00:22:18.168822+00:00,10.138.60.122,40.224.71.190,4324,22,TCP,17,10335,2.66699,benign
2026-04-22 06:44:41.168822+00:00,10.6.89.221,50.107.65.244,15673,80,TCP,28,13296,1.54964,benign
2026-04-23 19:00:55.168822+00:00,10.156.213.195,35.137.68.200,10691,53,UDP,17,10137,0.31303,benign
2026-04-23 01:26:53.168822+00:00,10.15.122.78,128.127.205.170,21535,3389,TCP,169,17914,2.59722,brute_force
2026-04-23 16:40:35.168822+00:00,10.30.54.3,150.95.59.14,44439,3389,TCP,25,11434,3.17978,benign
2026-04-22 07:34:27.168822+00:00,10.52.171.66,129.156.61.74,27642,443,TCP,10,6701,1.32241,benign
2026-04-24 01:46:37.168822+00:00,10.185.75.14,23.140.241.166,32776,22,TCP,20,8736,0.95749,benign
2026-04-22 13:13:01.168822+00:00,10.180.42.247,26.115.234.40,30345,3389,TCP,116,29928,3.43516,brute_force
2026-04-23 11:25:14.168822+00:00,10.109.11.61,66.205.172.44,1368,47882,TCP,7,511,0.37574,port_scan
2026-04-22 17:05:23.168822+00:00,10.82.126.170,12.32.142.81,7325,80,TCP,556,612712,1.59923,dos
2026-04-24 02:40:47.168822+00:00,10.80.78.236,48.14.22.90,15678,48179,TCP,8,912,0.3255,port_scan
2026-04-23 22:36:54.168822+00:00,10.48.186.43,59.193.192.201,3927,12258,TCP,8,656,0.07569,port_scan
2026-04-23 22:29:24.168822+00:00,10.66.152.25,162.116.46.47,54066,3306,TCP,20,10825,1.16303,benign
2026-04-23 00:20:48.168822+00:00,10.38.217.25,143.248.187.210,65270,53,TCP,16,8859,2.80044,benign
2026-04-22 15:03:31.168822+00:00,10.36.191.120,188.1.232.155,32297,80,TCP,798,654360,1.75333,dos
2026-04-22 06:43:37.168822+00:00,10.87.209.228,195.241.33.237,44023,53,UDP,20,7236,0.80775,benign
2026-04-22 16:04:07.168822+00:00,10.30.126.235,125.101.246.156,4656,80,TCP,35,24545,2.21591,benign
2026-04-23 12:54:09.168822+00:00,10.33.104.49,148.157.161.186,4557,8080,TCP,24,10556,1.15933,benign
2026-04-22 22:41:17.168822+00:00,10.37.224.166,85.240.172.119,40046,443,UDP,1189,837056,1.41696,dos
2026-04-22 09:43:21.168822+00:00,10.32.86.81,123.15.22.184,50862,3306,TCP,14,9552,2.97788,benign
2026-04-24 06:17:56.168822+00:00,10.235.77.29,91.241.108.222,60970,22,TCP,145,42340,3.91369,brute_force
2026-04-24 01:14:58.168822+00:00,10.251.16.248,163.6.85.225,24319,80,TCP,30,12693,4.10267,benign
2026-04-23 03:20:54.168822+00:00,10.82.176.138,178.37.58.249,28022,8080,TCP,18,8500,1.29125,benign
2026-04-22 18:06:34.168822+00:00,10.60.138.46,109.189.124.33,52404,14469,TCP,6,576,0.24204,port_scan
2026-04-23 03:42:24.168822+00:00,10.128.15.60,130.25.235.71,10104,443,UDP,18,9066,1.87666,benign
2026-04-22 17:44:38.168822+00:00,10.15.159.239,187.58.18.2,62296,80,ICMP,15,9485,0.4057,benign
2026-04-22 09:49:27.168822+00:00,10.10.153.128,33.227.25.33,20225,22,TCP,24,11681,4.25936,benign
2026-04-23 01:23:26.168822+00:00,10.50.176.199,57.252.207.68,2738,28240,TCP,7,385,0.18393,port_scan
2026-04-22 14:11:02.168822+00:00,10.236.19.46,102.146.70.178,52013,3389,UDP,21,10044,2.11783,benign
2026-04-22 11:29:23.168822+00:00,10.133.196.50,67.76.234.116,63231,8080,TCP,15,10352,4.78645,benign
2026-04-24 05:32:05.168822+00:00,10.90.114.168,206.197.79.17,32096,80,TCP,295,245440,0.60455,dos
